ip,prefix24,oblast,power_availability,normal_availability,itdk_202408_T,own_traceroute_intermediate,first_seen,last_seen,intermediate_observation_n,terminal_non_target_observation_n,target_address_observation_n,hop_position_min,hop_position_max,frozen_own_traceroute_intermediate,rebuilt_own_traceroute_intermediate,caida_itdk_202408_transit
77.52.205.233,77.52.205.0,Dnipropetrovsk Oblast,1.0,1.0,1,1,2024-06-23 04:33:25.000000,2025-01-09 14:52:29.000000,7654,967,75,6.0,10.0,1,1,1
77.52.205.234,77.52.205.0,Dnipropetrovsk Oblast,1.0,1.0,1,1,2024-06-24 09:51:05.000000,2025-01-09 14:52:29.000000,213,8517,72,7.0,10.0,1,1,1
77.52.205.237,77.52.205.0,Zaporizhzhia Oblast,1.0,1.0,1,1,2024-06-22 14:37:46.000000,2025-01-09 14:50:21.000000,8769,740,87,5.0,15.0,1,1,1
77.52.205.238,77.52.205.0,Zaporizhzhia Oblast,1.0,0.96875,1,1,2024-08-06 19:33:25.000000,2025-01-09 14:50:21.000000,141,9272,67,6.0,11.0,1,1,1
77.52.205.37,77.52.205.0,Zakarpattia Oblast,1.0,1.0,1,1,2024-06-22 09:00:44.000000,2025-01-09 14:51:14.000000,14972,16387,67,5.0,12.0,1,1,1
77.52.205.38,77.52.205.0,Zakarpattia Oblast,1.0,1.0,1,1,2024-06-22 09:00:44.000000,2025-01-09 14:51:14.000000,12084,3433,75,6.0,13.0,1,1,1
77.52.205.93,77.52.205.0,Poltava Oblast,0.9519230769230769,0.9663461538461539,0,1,2024-06-22 17:37:59.000000,2025-01-07 17:33:29.000000,76,67,78,5.0,8.0,1,1,0
77.52.206.169,77.52.206.0,Zakarpattia Oblast,1.0,1.0,1,1,2024-06-22 08:42:39.000000,2025-01-07 12:33:28.000000,10276,1546,56,5.0,10.0,1,1,1
77.52.206.170,77.52.206.0,Zakarpattia Oblast,1.0,1.0,1,1,2024-06-22 08:42:39.000000,2024-11-29 19:33:27.000000,6888,3240,59,6.0,12.0,1,1,1
77.52.206.245,77.52.206.0,Dnipropetrovsk Oblast,1.0,1.0,0,1,2024-06-23 23:33:26.000000,2025-01-09 09:33:28.000000,51,68,57,6.0,8.0,1,1,0
77.52.207.177,77.52.207.0,Dnipropetrovsk Oblast,1.0,0.9903846153846154,0,1,2024-06-22 14:37:46.000000,2025-01-06 17:33:29.000000,43,85,75,6.0,14.0,1,1,0
77.52.207.181,77.52.207.0,Dnipropetrovsk Oblast,1.0,0.9903846153846154,1,1,2024-06-22 10:37:34.000000,2025-01-09 11:33:29.000000,45,84,56,5.0,10.0,1,1,1
77.52.207.201,77.52.207.0,Zaporizhzhia Oblast,0.875,1.0,1,1,2024-06-22 14:37:46.000000,2025-01-09 04:33:29.000000,50,387,58,5.0,20.0,1,1,1
77.52.207.202,77.52.207.0,Zaporizhzhia Oblast,1.0,1.0,0,1,2024-06-23 06:34:31.000000,2025-01-08 16:33:27.000000,44,9,66,6.0,16.0,1,1,0
77.52.209.225,77.52.209.0,Odesa Oblast,0.9333333333333333,1.0,1,1,2024-06-22 15:37:34.000000,2025-01-09 14:33:28.000000,183,798,79,5.0,14.0,1,1,1
77.52.211.146,77.52.211.0,Dnipropetrovsk Oblast,1.0,1.0,0,1,2024-06-22 08:37:16.000000,2025-01-09 14:33:27.000000,16755,2435,63,8.0,32.0,1,1,0
77.52.211.147,77.52.211.0,Dnipropetrovsk Oblast,1.0,1.0,1,1,2024-06-22 08:37:07.000000,2025-01-09 14:33:27.000000,42628,2384,71,7.0,32.0,1,1,1
77.52.32.153,77.52.32.0,Odesa Oblast,0.9333333333333333,1.0,0,1,2024-06-22 17:37:49.000000,2025-01-08 12:33:23.000000,67,74,75,5.0,10.0,1,1,0
77.52.32.201,77.52.32.0,Lviv Oblast,1.0,1.0,1,1,2024-06-22 09:03:38.000000,2025-01-09 14:53:34.000000,14306,884,69,5.0,14.0,1,1,1
77.52.32.202,77.52.32.0,Lviv Oblast,1.0,1.0,1,1,2024-06-22 09:03:38.000000,2025-01-09 14:53:34.000000,205,14834,99,6.0,11.0,1,1,1
77.52.33.141,77.52.33.0,Zakarpattia Oblast,1.0,1.0,0,1,2024-06-23 03:33:20.000000,2025-01-08 15:33:22.000000,63,55,72,5.0,8.0,1,1,0
77.52.33.89,77.52.33.0,Zakarpattia Oblast,1.0,1.0,1,1,2024-06-23 22:33:21.000000,2025-01-09 03:33:28.000000,87,289,62,5.0,10.0,1,1,1
77.52.34.49,77.52.34.0,Dnipropetrovsk Oblast,1.0,1.0,0,1,2024-06-22 16:37:37.000000,2025-01-09 01:33:24.000000,80,71,71,5.0,10.0,1,1,0
77.52.38.169,77.52.38.0,Zakarpattia Oblast,0.0,0.0,0,1,2024-11-07 07:33:19.000000,2025-01-06 22:33:23.000000,15,29,14,5.0,8.0,1,1,0
77.52.42.161,77.52.42.0,Dnipropetrovsk Oblast,1.0,0.9903846153846154,0,1,2024-06-22 17:37:50.000000,2025-01-09 08:33:28.000000,62,61,73,5.0,8.0,1,1,0
77.52.64.1,77.52.64.0,Dnipropetrovsk Oblast,1.0,0.9711538461538461,0,1,2024-06-29 11:33:22.000000,2025-01-09 04:33:25.000000,78,0,82,5.0,8.0,1,1,0
77.52.64.25,77.52.64.0,Poltava Oblast,0.8942307692307693,0.9230769230769231,1,1,2024-06-22 08:37:09.000000,2025-01-09 14:50:50.000000,11170,1273,81,6.0,10.0,1,1,1
77.52.64.253,77.52.64.0,Zakarpattia Oblast,1.0,1.0,1,1,2024-06-22 08:37:06.000000,2025-01-09 14:33:23.000000,52372,7041,72,5.0,32.0,1,1,1
77.52.64.254,77.52.64.0,Zakarpattia Oblast,1.0,1.0,1,1,2024-06-22 08:37:06.000000,2025-01-09 14:33:23.000000,18598,14651,76,6.0,32.0,1,1,1
77.52.64.26,77.52.64.0,Poltava Oblast,0.9134615384615384,0.9543269230769231,1,1,2024-06-22 09:00:29.000000,2025-01-09 14:50:50.000000,989,12084,77,7.0,11.0,1,1,1
77.52.65.25,77.52.65.0,Dnipropetrovsk Oblast,0.0,0.019230769230769232,0,1,2024-06-22 08:43:37.000000,2024-07-09 21:33:24.000000,2,116,2,6.0,10.0,1,1,0
77.52.65.26,77.52.65.0,Dnipropetrovsk Oblast,0.0,0.0,0,1,2024-06-22 08:43:37.000000,2024-06-22 08:43:37.000000,2,0,0,9.0,9.0,1,1,0
77.52.65.89,77.52.65.0,Zakarpattia Oblast,1.0,1.0,0,1,2024-06-24 01:33:21.000000,2025-01-08 16:33:23.000000,53,82,81,6.0,10.0,1,1,0
77.52.65.93,77.52.65.0,Poltava Oblast,0.9615384615384616,0.9423076923076923,0,1,2024-06-23 10:33:21.000000,2025-01-03 22:33:24.000000,47,76,68,5.0,9.0,1,1,0
77.52.66.201,77.52.66.0,Mykolaiv Oblast,0.8947368421052632,0.9605263157894737,1,1,2024-06-22 09:37:38.000000,2025-01-09 14:33:28.000000,4281,376,73,5.0,17.0,1,1,1
77.52.66.204,77.52.66.0,Lviv Oblast,1.0,1.0,1,1,2024-06-22 08:40:37.000000,2025-01-09 14:35:23.000000,3898,89,70,5.0,10.0,1,1,1
77.52.66.205,77.52.66.0,Lviv Oblast,1.0,1.0,1,1,2024-06-22 08:40:37.000000,2025-01-09 14:35:23.000000,1806,2970,63,6.0,16.0,1,1,1
